Size,AverageTime(ns)
803,6869840
804,6886335
805,7085920
806,6672570
807,6619960
808,6570645
809,6885570
810,6594880
811,6406800
812,6577885
813,6425445
814,6598470
815,6590655
816,7056020
817,7359230
818,6681400
819,7087735
820,6993495
821,6946475
822,7539490
823,6906950
824,7403475
825,8169255
826,7251770
827,7048590
828,6949415
829,7189890
830,7275580
831,7505335
832,7248480
833,7229355
834,6862290
835,6928530
836,6926955
837,6853815
838,7092415
839,6877580
840,7141775
841,6880415
842,7120300
843,6974900
844,7142960
845,6983525
846,6945425
847,7012670
848,6969030
849,7270800
850,7177330
851,7177485
852,7084260
853,7398825
854,7324935
855,7171510
856,7294895
857,7576700
858,7292450
859,7774230
860,7793870
861,7315915
862,7551100
863,7362765
864,7684510
865,7282665
866,7383540
867,7517515
868,7349100
869,7323130
870,7522060
871,7568160
872,7337200
873,7602590
874,7684365
875,7854045
876,7971590
877,7873700
878,9396040
879,10828495
880,8105615
881,7607775
882,7695675
883,8042435
884,7619910
885,7807725
886,8095640
887,7782005
888,7662145
889,8034750
890,7775335
891,9184650
892,8223865
893,7692480
894,7849475
895,8096675
896,7973335
897,7728760
898,8458445
899,8099210
900,7858220
901,8218650
902,7990615
903,7924145
904,8088090
905,8182500
906,7930475
907,8441170
908,8100505
909,8046435
910,8249500
911,8116730
912,8004915
913,8830510
914,9094600
915,8772880
916,8913790
917,8884850
918,8916945
919,9053635
920,8441385
921,9103630
922,8305645
923,8252150
924,8221255
925,8195245
926,8110460
927,8157885
928,8502545
929,8181120
930,8503825
931,8529825
932,8222895
933,8301540
934,8430695
935,8484880
936,8329965
937,8632615
938,8326015
939,8408855
940,8520555
941,8350995
942,8511155
943,8964795
944,8494220
945,8480020
946,8423740
947,8634320
948,8616730
949,8580260
950,10441645
951,9266650
952,9521085
953,10159585
954,10011920
955,9977850
956,11073565
957,10378375
958,9761405
959,9928345
960,9902045
961,9852960
